Time,Disp,Force,CrackExt,G_I
29,0,0,35,0
30,0.0942057987214469,2.303881412,35,0.000258813473686594
31,0.182757782782119,4.412708377,35,0.000961679221357498
32,0.268674222919046,6.6556862435,35,0.00213239652884095
33,0.360996180679344,9.0692904155,35,0.00390413692703403
34,0.450680302738569,11.1659589125,35,0.00600086321713209
35,0.53697374024545,13.384397432,35,0.00857039811870759
36,0.630049692745686,15.8102712775,35,0.0118785450929338
37,0.725386483577012,18.101957153,35,0.0156582822182421
38,0.81243162404651,20.2960787365,35,0.019662923242669
39,0.894958525519755,22.6609748995,35,0.0241841386547066
40,0.989918318981132,25.123324149,35,0.0296568887324256
41,1.07696460533928,27.536928321,35,0.0353643800599784
42,1.17116925817207,30.3527627865,35,0.0423903514042303
43,1.25595585208777,32.998008015,35,0.0494209651269551
44,1.34903180458799,35.5090652735,35,0.0571229402820228
45,1.4413537623483,38.190860043,35,0.0656415986645574
46,1.53141488177748,40.677637434,35,0.0742844152409765
47,1.61808417076567,43.2374027015,35,0.0834276156845106
48,1.71417495633693,45.7485711655,35,0.0935151134947816
49,1.80423722165478,48.41813333,35,0.104171952673745
50,1.88902152379316,50.8683241115,35,0.114586501760373
51,1.98247561955201,53.696391182,35,0.126941047748248
52,2.06839091380026,56.292817196,35,0.138846433849999
53,2.16410241022425,59.0599436525,35,0.152412280661956
54,2.25266012372823,61.485669224,35,0.165165258142139
55,2.34309709463872,63.9114689325,35,0.178573992998726
56,2.44069472380117,66.4591869375,35,0.193427229307352
57,2.51982750305609,69.0312218785,35,0.207427100785223
58,2.61441029914751,71.6885885065,35,0.223497618621201
59,2.70673111101915,74.0047025235,35,0.238865570862596
60,2.79754851696558,76.2963513305,35,0.254525044109379
61,2.8834649571025,78.6490890255,35,0.270431638351418
62,2.97691790697269,80.258121405,35,0.284908215995677
63,3.06509403955207,76.235447785,35,0.278644120649361
64,3.14611180565681,77.7591484775,35,0.291725755542538
65,3.2418255938581,78.795324258,35,0.30460653648132
66,3.33904507976193,78.271101531,35,0.31165410600128
67,3.41968699438537,79.08786886,35,0.322511610892017
68,3.51276180099694,79.770522356,35,0.334149074192474
69,3.60395276664734,80.7944655315,35,0.347224073429538
70,3.70192853906842,81.2942230485,35,0.358869740429201
71,3.78445314876434,81.440458281,35,0.367529722560163
72,3.87225457575108,82.7448617275,35,0.382079785243228
72,3.96382253877146,83.9515896765,35,0.396818811280219
73,4.06292586563643,83.5737133875,35.6600041974757,0.39973918119553
74,4.15562596665536,84.000334754,36.246674595232,0.406334969004755
75,4.23551274065021,83.183641562,36.7966780931284,0.405849766474716
76,4.32745884692921,83.720022757,37.3466815910249,0.413033608234423
77,4.41789810961701,84.561107022,37.5666829901834,0.42415356206974
78,4.50720294252896,84.036958432,37.8233512892018,0.427995673128133
79,4.59802034847539,83.2323866395,38.1533533879396,0.429805560061367
80,4.69599382911915,84.171072265,38.3366878872385,0.442417372980251
81,4.78680894328825,85.0730600755,38.6666899859763,0.453055880874917
82,4.87310238079515,85.792300181,38.9600251848544,0.462641509599394
83,4.95524999312111,85.9141443405,39.2166934838728,0.468919846287018
84,5.05096378132241,86.2311541525,39.7666969817692,0.475012048245563
85,5.140273197789,86.9503571895,39.9866983809278,0.485528497590721
86,5.22769648151711,87.3160008735,40.1700328802266,0.494245008263381
87,5.32680095427074,87.413528097,40.6100356785438,0.500260551429182
88,5.40442688993448,87.6817186945,41.1967060763,0.503888684325924
89,5.50126937846834,88.266844967,41.6000419747574,0.512727050988389
90,5.58794095923385,88.70566187,42.0033778732148,0.519756524555049
91,5.67875721929163,88.961656931,42.5533813711112,0.524754748278769
92,5.77183317179185,89.437097512,42.9933841694284,0.532208742780401
93,5.8634022807009,89.522429199,43.0667179691479,0.540496432673249
94,5.95308640276011,89.7539961185,43.2867193683065,0.548142529251215
95,6.04163953270946,90.0953228665,43.4333869677456,0.557034451043818
96,6.13094780328738,90.4366496145,43.5800545671846,0.566014042268368
97,6.21912393586676,91.204597729,43.836722866203,0.576547507302116
98,6.31295388310691,91.8872141565,43.8733897660627,0.589265402413205
99,6.40527469497854,92.252894909,44.2767256645201,0.596247610636455
100,6.49910578810736,92.4601448925,44.1300580650811,0.607819414634923
101,6.58577507709555,92.716102885,44.4233932639592,0.614633202888685
102,6.67998316759432,91.814078006,44.9733967618556,0.611794068874895
103,6.7677834486924,91.9359963025,45.0467305615752,0.619913214117753
104,6.85257004260809,91.996899848,45.0467305615752,0.628095278790923
105,6.94300701351858,91.923800766,45.1933981610142,0.634355601603085
106,7.03683696075873,91.9969369165,45.6334009593314,0.638848697738488
107,7.12237640352569,91.838469079,45.8900692583497,0.642824993194075
108,7.20942383577251,92.0700359985,46.2934051568071,0.648100453794323
109,7.30589161871373,92.228577973,47.1734107534414,0.648743241599555
110,7.39482174603303,92.630845335,47.1367438535817,0.659886845788191
111,7.48865169327318,93.1549568565,47.1734107534414,0.671651067381137
112,7.5794668074423,93.654751442,48.016749450216,0.674444159957467
113,7.66575909906052,93.9716500485,48.2000839495148,0.682477204235555
114,7.76034189515193,93.740083129,48.2000839495148,0.689195319805963
115,7.84663533265883,93.313424694,48.786754347271,0.687408558678211
116,7.93707459534664,93.410914849,48.6034198479722,0.698032381141628
117,8.02977584225422,93.7765956015,48.6034198479722,0.708949607347845
118,8.11568884472516,93.874196962,48.8967550468503,0.71404000008622
119,8.21291291418363,93.849805889,49.0067557464296,0.721184432662449
120,8.29242154491986,92.5332439745,49.3367578451675,0.71432661039923
121,8.39152830945082,92.4602190295,49.3367578451675,0.722293409001045
