Disp (in), Force (lb)
0.008575255, 1.691281672
0.045893157, 84.76520896
0.095223729, 142.4132304
0.144170335, 188.1966823
0.171431967, 230.5811152
0.233762553, 289.9295604
0.265010125, 322.1461907
0.300682455, 357.7545265
0.344875188, 389.976642
0.38928733, 428.9785116
0.437740265, 459.5075171
0.477508239, 488.3379272
0.530276227, 518.8687611
0.574304403, 546.0060612
0.635537942, 571.4557364
0.705620997, 603.6888225
0.775594348, 632.5320315
0.819622524, 659.6693316
0.868130311, 691.8932756
0.929254145, 713.9530738
0.972953206, 730.9207429
1.033528516, 736.0311562
1.093939269, 736.0567539
1.149760706, 727.6058308
1.231307909, 714.0810627
1.287019642, 702.2402626
1.351526039, 695.4879348
1.407512033, 692.1218271
1.450607719, 690.4451728
1.511128176, 693.8606475
1.56733358, 697.2742939
1.619333635, 704.0759888
1.666963784, 709.1809169
1.714593932, 714.2858449
1.758128437, 726.1686985
1.810128492, 732.9703934
1.857813493, 739.77026
1.922923266, 751.6622556
1.987978187, 761.8593128
2.053033108, 772.05637
2.116122485, 788.1847977
2.174732252, 799.2265815
2.240335697, 826.3730236
2.305719732, 846.7397118
2.35826831, 870.4907917
2.415131943, 894.2437
2.467515964, 912.9099644
2.515694637, 934.9642774
2.554859235, 945.1503641
2.58102382, 953.636027
2.6240098, 948.5694957
2.649461304, 935.0209582
2.666556962, 929.9434563
2.688077378, 928.2576599
2.705831265, 943.51942
2.723749709, 963.8659956
2.737243394, 980.8208658
2.755052133, 997.7775645
2.768436113, 1011.342558
2.794381288, 1013.048467
2.824312403, 1004.586573
2.858668276, 999.5163849
2.888873652, 999.5291838
2.915202794, 1013.099662
2.937162029, 1024.973374
2.959121265, 1036.847085
2.985395554, 1048.722625
3.01603975, 1062.294932
3.050285918, 1053.834867
3.075792274, 1041.981268
3.088243764, 1026.732307
3.096215643, 1006.396702
3.104297227, 989.4509734
3.114316928, 965.7264055
3.124364055, 942.8493068
3.140883763, 919.9749507
3.149020199, 904.7241611
3.148252266, 880.9950221
3.14742948, 855.5709447
3.146661547, 831.8418057
3.145948466, 809.8076053
3.140536365, 775.9070069
3.144083485, 752.1796964
3.143205847, 725.0606804
3.142328209, 697.9416645
3.141450571, 670.8226485
3.139859852, 621.6694321
3.130077845, 586.0720669
3.133460408, 557.2599409
3.123623548, 519.9676371
3.113896393, 486.0652103
3.099854184, 452.1609552
3.098811989, 419.9571237
3.076578491, 399.6087197
3.06248143, 364.009526
3.031014449, 325.0131417
3.004246488, 297.8831553
2.977478528, 270.7531689
2.941970755, 240.2296486
2.906462982, 209.7061284
2.84916053, 172.3937121
2.8008173, 145.2545836
2.761213883, 121.5089889
2.712870654, 94.36986045
2.669226444, 79.09712985
2.63415749, 62.13311758
2.581828321, 45.16179166
2.533869058, 29.88723265
2.485964648, 16.30761214
2.451060251, 4.42841536
