Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0.0047833,832.8,0.0052367,6.0682,31.223,31.223,32.861
0.0048326,840.6,0.0052906,6.067,31.42,31.42,33.199
0.004882,848.35,0.0053445,6.0657,31.609,31.609,33.538
0.0049313,856.03,0.0053984,6.0644,31.792,31.792,33.609
0.0049806,863.64,0.0054523,6.0629,31.971,31.971,33.609
0.0050299,871.19,0.0055062,6.0614,32.148,32.148,33.609
0.0050792,878.68,0.0055601,6.0599,32.322,32.322,33.609
0.0051285,886.11,0.005614,6.0582,32.494,32.494,33.609
0.0051778,893.48,0.0056679,6.0565,32.664,32.664,33.609
0.0052272,900.79,0.0057217,6.0548,32.831,32.831,33.609
0.0052765,908.03,0.0057756,6.053,32.996,32.997,33.609
0.0053258,915.22,0.0058295,6.0511,33.16,33.159,33.609
0.0053751,922.36,0.0058833,6.0492,33.32,33.32,33.609
0.0054244,929.43,0.0059371,6.0472,33.479,33.479,33.609
0.0054737,936.45,0.005991,6.0452,33.636,33.636,33.609
0.005523,943.42,0.0060448,6.0431,33.792,33.791,33.609
0.0055723,950.33,0.0060986,6.041,33.945,33.945,33.609
0.0056217,957.18,0.0061525,6.0388,34.097,34.097,33.609
0.005671,963.99,0.0062063,6.0366,34.247,34.247,33.609
0.0057203,970.74,0.0062601,6.0343,34.395,34.395,33.609
0.0057696,977.44,0.0063139,6.032,34.542,34.542,33.609
0.0058189,984.1,0.0063677,6.0297,34.688,34.688,33.609
0.0058682,990.7,0.0064215,6.0273,34.832,34.832,33.609
0.0059175,997.25,0.0064753,6.0249,34.975,34.975,33.609
0.0059668,1003.8,0.0065291,6.0224,35.117,35.117,33.609
0.0060162,1010.2,0.0065828,6.0199,35.257,35.257,33.609
0.0060655,1016.6,0.0066366,6.0174,35.397,35.397,33.609
0.0061148,1023,0.0066904,6.0148,35.535,35.535,33.609
0.0061641,1029.3,0.0067441,6.0123,35.662,35.662,33.609
0.0062134,1035.6,0.0067979,6.0096,35.757,35.757,33.609
0.0062627,1041.8,0.0068516,6.0069,35.818,35.818,33.609
0.006312,1047.9,0.0069054,6.0042,35.844,35.844,33.609
0.0063613,1053.9,0.0069591,6.0013,35.835,35.835,33.609
0.0064107,1059.8,0.0070128,5.9983,35.789,35.789,33.609
0.00646,1065.6,0.0070665,5.9953,35.705,35.705,33.609
0.0065093,1071.3,0.0071202,5.9921,35.582,35.582,33.609
0.0065586,1076.7,0.0071739,5.9887,35.42,35.42,33.609
0.0066079,1082.1,0.0072276,5.9853,35.216,35.216,33.609
0.0066572,1087.2,0.0072812,5.9816,34.971,34.971,33.609
0.0067065,1092.2,0.0073348,5.9778,34.683,34.683,33.609
0.0067558,1096.9,0.0073884,5.9738,34.352,34.352,33.609
0.0068052,1101.4,0.007442,5.9696,33.976,33.976,33.609
0.0068545,1105.7,0.0074956,5.9652,33.554,33.554,33.609
0.0069038,1109.7,0.0075491,5.9606,33.086,33.086,33.609
0.0069531,1113.5,0.0076026,5.9557,32.571,32.571,33.609
0.0070024,1117,0.0076561,5.9507,32.008,32.008,33.609
0.0070517,1120.2,0.0077096,5.9453,31.396,31.396,33.609
0.007101,1123.1,0.007763,5.9397,30.734,30.734,33.609
0.0071503,1125.7,0.0078165,5.9338,30.021,30.021,33.609
0.0071997,1127.9,0.0078698,5.9276,29.258,29.257,33.609
0.007249,1129.8,0.0079232,5.9212,28.442,28.442,33.609
0.0072983,1131.3,0.0079765,5.9144,27.574,27.574,33.609
0.0073476,1132.5,0.0080298,5.9073,26.652,26.652,26.622
