Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0,-0.75474,0,5.9271,0,0,0
5.6302e-05,6.9123,5.9658e-05,5.8238,0.29888,0.29888,0.32421
0.0001126,14.579,0.00011933,5.8384,0.6239,0.6239,0.64849
0.00016891,22.247,0.00017902,5.8547,0.94877,0.94877,0.97284
0.00022521,29.914,0.00023871,5.867,1.2735,1.2735,1.2972
0.00028151,37.581,0.00029841,5.8762,1.5981,1.5981,1.6217
0.00033781,45.248,0.00035811,5.8831,1.9227,1.9227,1.9461
0.00039411,52.915,0.00041781,5.8885,2.2472,2.2472,2.2705
0.00045042,60.582,0.00047751,5.8927,2.5717,2.5717,2.595
0.00050672,68.249,0.00053721,5.8962,2.8962,2.8962,2.9194
0.00056302,75.916,0.00059691,5.899,3.2207,3.2207,3.2439
0.00061932,83.583,0.00065662,5.9014,3.5452,3.5452,3.5683
0.00067562,91.25,0.00071632,5.9034,3.8697,3.8697,3.8928
0.00073193,98.917,0.00077602,5.9052,4.1941,4.1941,4.2172
0.00078823,106.58,0.00083573,5.9067,4.5186,4.5186,4.5417
0.00084453,114.25,0.00089543,5.908,4.8431,4.8431,4.8661
0.00090083,121.92,0.00095514,5.9092,5.1675,5.1675,5.1906
0.00095713,129.59,0.0010148,5.9102,5.492,5.492,5.5151
0.0010134,137.25,0.0010745,5.9111,5.8164,5.8164,5.8395
0.0010697,144.92,0.0011342,5.912,6.1409,6.1409,6.164
0.001126,152.59,0.001194,5.9127,6.4653,6.4653,6.4884
0.0011823,160.25,0.0012537,5.9134,6.7898,6.7898,6.8129
0.0012386,167.92,0.0013134,5.914,7.1143,7.1143,7.1373
0.0012949,175.59,0.0013731,5.9146,7.4387,7.4387,7.4618
0.0013512,183.26,0.0014328,5.9151,7.7632,7.7632,7.7862
0.0014076,190.92,0.0014925,5.9156,8.0876,8.0876,8.1107
0.0014639,198.59,0.0015522,5.916,8.4121,8.4121,8.4352
0.0015202,206.26,0.0016119,5.9164,8.7365,8.7365,8.7596
0.0015765,213.92,0.0016716,5.9168,9.061,9.061,9.0841
0.0016328,221.59,0.0017313,5.9172,9.3855,9.3855,9.4085
0.0016891,229.26,0.001791,5.9175,9.7099,9.7099,9.733
0.0017454,236.92,0.0018507,5.9178,10.034,10.034,10.057
0.0018017,244.59,0.0019104,5.9181,10.359,10.359,10.382
0.001858,252.26,0.0019701,5.9184,10.683,10.683,10.706
0.0019143,259.93,0.0020298,5.9186,11.008,11.008,11.031
0.0019706,267.59,0.0020895,5.9189,11.332,11.332,11.355
0.0020269,275.26,0.0021492,5.9191,11.657,11.657,11.68
0.0020832,282.93,0.0022089,5.9193,11.981,11.981,12.004
0.0021395,290.59,0.0022686,5.9195,12.306,12.306,12.329
0.0021958,298.26,0.0023283,5.9197,12.63,12.63,12.653
0.0022521,305.93,0.002388,5.9199,12.954,12.954,12.978
0.0023084,313.6,0.0024477,5.9201,13.279,13.279,13.302
0.0023647,321.26,0.0025074,5.9203,13.603,13.603,13.626
0.002421,328.93,0.0025671,5.9204,13.928,13.928,13.951
0.0024773,336.6,0.0026268,5.9206,14.252,14.252,14.275
0.0025336,344.26,0.0026866,5.9207,14.577,14.577,14.6
0.0025899,351.93,0.0027463,5.9209,14.901,14.901,14.924
0.0026462,359.6,0.002806,5.921,15.226,15.226,15.249
0.0027025,367.27,0.0028657,5.9211,15.55,15.55,15.573
0.0027588,374.93,0.0029254,5.9212,15.875,15.875,15.898
0.0028151,382.6,0.0029851,5.9214,16.199,16.199,16.222
0.0028714,390.27,0.0030448,5.9215,16.523,16.523,16.547
0.0029277,397.93,0.0031045,5.9216,16.848,16.847,16.871
0.002984,405.6,0.0031642,5.9217,17.171,17.171,17.195
0.0030403,413.27,0.0032239,5.9218,17.495,17.495,17.52
0.0030966,420.93,0.0032836,5.9219,17.819,17.819,17.844
0.0031529,428.6,0.0033433,5.922,18.142,18.142,18.169
0.0032092,436.26,0.003403,5.922,18.465,18.465,18.493
0.0032655,443.92,0.0034627,5.9221,18.788,18.788,18.818
0.0033218,451.58,0.0035224,5.9222,19.111,19.111,19.142
0.0033781,459.24,0.0035821,5.9222,19.433,19.433,19.467
0.0034344,466.9,0.0036418,5.9223,19.755,19.755,19.791
0.0034907,474.56,0.0037015,5.9223,20.077,20.077,20.116
0.003547,482.21,0.0037612,5.9224,20.399,20.399,20.44
0.0036033,489.86,0.0038209,5.9224,20.72,20.72,20.764
0.0036596,497.51,0.0038806,5.9225,21.041,21.041,21.089
0.0037159,505.16,0.0039403,5.9225,21.361,21.361,21.413
0.0037722,512.8,0.004,5.9225,21.681,21.681,21.738
0.0038285,520.45,0.0040597,5.9225,22.001,22.001,22.062
0.0038848,528.09,0.0041194,5.9225,22.32,22.32,22.387
0.0039411,535.72,0.0041791,5.9225,22.639,22.639,22.711
0.0039974,543.36,0.0042388,5.9225,22.957,22.957,23.036
0.0040537,550.99,0.0042985,5.9224,23.275,23.275,23.36
0.00411,558.61,0.0043582,5.9224,23.593,23.593,23.684
0.0041663,566.23,0.0044179,5.9224,23.91,23.91,24.009
0.0042227,573.85,0.0044776,5.9223,24.226,24.226,24.333
0.004279,581.47,0.0045373,5.9223,24.539,24.539,24.658
0.0043353,589.07,0.004597,5.9222,24.849,24.849,24.982
0.0043916,596.67,0.0046567,5.9221,25.155,25.155,25.307
0.0044479,604.26,0.0047164,5.922,25.457,25.457,25.631
0.0045042,611.83,0.0047761,5.9218,25.754,25.754,25.955
0.0045605,619.39,0.0048358,5.9217,26.047,26.047,26.28
0.0046168,626.92,0.0048955,5.9215,26.336,26.336,26.604
0.0046731,634.44,0.0049552,5.9212,26.62,26.62,26.929
0.0047294,641.94,0.0050149,5.921,26.899,26.899,27.253
0.0047857,649.41,0.0050746,5.9206,27.173,27.173,27.577
0.004842,656.85,0.0051343,5.9203,27.441,27.441,27.902
0.0048983,664.27,0.005194,5.9199,27.704,27.704,28.226
0.0049546,671.65,0.0052536,5.9194,27.962,27.962,28.55
0.0050109,679,0.0053133,5.9189,28.213,28.213,28.875
0.0050672,686.31,0.005373,5.9183,28.458,28.458,29.199
0.0051235,693.59,0.0054327,5.9177,28.697,28.697,29.523
0.0051798,700.83,0.0054924,5.917,28.929,28.929,29.848
0.0052361,708.02,0.005552,5.9163,29.155,29.155,30.172
0.0052924,715.17,0.0056117,5.9154,29.374,29.374,30.496
0.0053487,722.28,0.0056713,5.9146,29.586,29.586,30.82
0.005405,729.33,0.005731,5.9136,29.79,29.79,31.145
0.0054613,736.33,0.0057907,5.9126,29.987,29.987,31.469
0.0055176,743.29,0.0058503,5.9115,30.177,30.177,31.793
0.0055739,750.18,0.00591,5.9104,30.359,30.359,32.117
0.0056302,757.02,0.0059696,5.9091,30.534,30.534,32.441
0.0056865,763.8,0.0060292,5.9078,30.71,30.71,32.765
0.0057428,770.53,0.0060889,5.9064,30.886,30.886,33.089
0.0057991,777.2,0.0061485,5.905,31.063,31.063,33.413
0.0058554,783.83,0.0062081,5.9035,31.241,31.241,33.737
0.0059117,790.41,0.0062677,5.9019,31.42,31.42,34.061
0.005968,796.94,0.0063274,5.9003,31.601,31.601,34.385
0.0060243,803.43,0.006387,5.8987,31.784,31.784,34.51
0.0060806,809.88,0.0064466,5.897,31.968,31.968,34.51
0.0061369,816.29,0.0065062,5.8953,32.154,32.154,34.51
0.0061932,822.67,0.0065658,5.8935,32.343,32.343,34.51
0.0062495,829.01,0.0066254,5.8917,32.535,32.535,34.51
0.0063058,835.32,0.006685,5.8899,32.729,32.729,34.51
0.0063621,841.61,0.0067446,5.888,32.925,32.925,34.51
0.0064184,847.87,0.0068042,5.8862,33.126,33.126,34.51
0.0064747,854.1,0.0068638,5.8843,33.329,33.329,34.51
0.006531,860.31,0.0069234,5.8824,33.536,33.536,34.51
0.0065873,866.51,0.0069829,5.8805,33.747,33.747,34.51
0.0066436,872.68,0.0070425,5.8786,33.961,33.961,34.51
0.0066999,878.84,0.0071021,5.8767,34.18,34.18,34.51
0.0067562,884.99,0.0071617,5.8747,34.403,34.403,34.51
0.0068125,891.13,0.0072213,5.8728,34.63,34.63,34.51
0.0068688,897.27,0.0072808,5.8709,34.863,34.863,34.51
0.0069251,903.39,0.0073404,5.869,35.1,35.1,34.51
0.0069814,909.52,0.0074,5.8671,35.342,35.342,34.51
0.0070378,915.64,0.0074596,5.8652,35.579,35.579,34.51
0.0070941,921.76,0.0075191,5.8634,35.79,35.79,34.51
0.0071504,927.85,0.0075787,5.8615,35.973,35.973,34.51
0.0072067,933.91,0.0076383,5.8595,36.129,36.129,34.51
0.007263,939.93,0.0076978,5.8576,36.254,36.254,34.51
0.0073193,945.89,0.0077574,5.8555,36.35,36.35,34.51
0.0073756,951.79,0.007817,5.8534,36.414,36.414,34.51
0.0074319,957.61,0.0078765,5.8513,36.447,36.447,34.51
0.0074882,963.34,0.007936,5.849,36.446,36.446,34.51
0.0075445,968.97,0.0079956,5.8466,36.411,36.411,34.51
0.0076008,974.49,0.0080551,5.8442,36.342,36.342,34.51
0.0076571,979.89,0.0081146,5.8416,36.236,36.236,34.51
0.0077134,985.16,0.0081741,5.8389,36.094,36.094,34.51
0.0077697,990.28,0.0082336,5.836,35.914,35.914,34.51
0.007826,995.24,0.0082931,5.833,35.696,35.696,34.51
0.0078823,1000,0.0083525,5.8298,35.439,35.439,34.51
0.0079386,1004.7,0.008412,5.8264,35.141,35.141,34.51
0.0079949,1009.1,0.0084714,5.8229,34.802,34.802,34.51
0.0080512,1013.3,0.0085309,5.8191,34.422,34.422,34.51
0.0081075,1017.3,0.0085903,5.8152,33.999,33.999,34.51
0.0081638,1021.1,0.0086497,5.811,33.533,33.533,34.51
0.0082201,1024.7,0.008709,5.8066,33.022,33.022,34.51
0.0082764,1028,0.0087684,5.802,32.467,32.467,34.51
0.0083327,1031,0.0088277,5.7971,31.866,31.866,34.51
0.008389,1033.8,0.0088871,5.792,31.219,31.219,31.219
