Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0.0057239,757.48,0.0061469,5.8621,29.396,29.396,31.171
0.0057848,764.19,0.0062121,5.8595,29.602,29.602,31.171
0.0058457,770.85,0.0062774,5.8569,29.807,29.807,31.171
0.0059066,777.49,0.0063426,5.8543,30.011,30.011,31.171
0.0059675,784.09,0.0064079,5.8517,30.214,30.214,31.171
0.0060284,790.65,0.0064731,5.8491,30.415,30.415,31.171
0.0060893,797.18,0.0065383,5.8464,30.616,30.616,31.171
0.0061502,803.68,0.0066035,5.8438,30.815,30.815,31.171
0.006211,810.15,0.0066688,5.8411,31.014,31.014,31.171
0.0062719,816.58,0.006734,5.8383,31.212,31.212,31.171
0.0063328,822.99,0.0067992,5.8356,31.408,31.408,31.171
0.0063937,829.36,0.0068644,5.8329,31.605,31.605,31.171
0.0064546,835.71,0.0069296,5.8301,31.8,31.8,31.171
0.0065155,842.02,0.0069948,5.8274,31.994,31.995,31.171
0.0065764,848.31,0.00706,5.8246,32.189,32.189,31.171
0.0066373,854.57,0.0071252,5.8218,32.382,32.382,31.171
0.0066982,860.81,0.0071904,5.8191,32.575,32.575,31.171
0.0067591,867.01,0.0072556,5.8163,32.767,32.767,31.171
0.00682,873.19,0.0073207,5.8135,32.959,32.959,31.171
0.0068809,879.35,0.0073859,5.8107,33.138,33.138,31.171
0.0069418,885.47,0.0074511,5.8078,33.3,33.3,31.171
0.0070027,891.54,0.0075163,5.805,33.443,33.443,31.171
0.0070635,897.57,0.0075814,5.8021,33.567,33.567,31.171
0.0071244,903.54,0.0076466,5.7991,33.672,33.672,31.171
0.0071853,909.44,0.0077117,5.7961,33.757,33.757,31.171
0.0072462,915.28,0.0077769,5.7931,33.821,33.821,31.171
0.0073071,921.03,0.007842,5.7899,33.864,33.864,31.171
0.007368,926.7,0.0079071,5.7867,33.884,33.884,31.171
0.0074289,932.27,0.0079722,5.7835,33.883,33.883,31.171
0.0074898,937.74,0.0080374,5.7801,33.858,33.858,31.171
0.0075507,943.09,0.0081024,5.7766,33.809,33.809,31.171
0.0076116,948.34,0.0081675,5.773,33.736,33.736,31.171
0.0076725,953.45,0.0082326,5.7693,33.639,33.639,31.171
0.0077334,958.44,0.0082977,5.7655,33.516,33.516,31.171
0.0077943,963.28,0.0083627,5.7616,33.367,33.367,31.171
0.0078551,967.98,0.0084277,5.7575,33.191,33.191,31.171
0.007916,972.52,0.0084927,5.7533,32.989,32.989,31.171
0.0079769,976.9,0.0085577,5.7489,32.759,32.759,31.171
0.0080378,981.11,0.0086227,5.7444,32.501,32.5,31.171
0.0080987,985.15,0.0086877,5.7397,32.214,32.214,31.171
0.0081596,988.99,0.0087526,5.7348,31.898,31.898,31.171
0.0082205,992.65,0.0088176,5.7298,31.552,31.552,31.171
0.0082814,996.11,0.0088825,5.7246,31.177,31.177,31.171
0.0083423,999.35,0.0089474,5.7192,30.77,30.77,31.171
0.0084032,1002.4,0.0090122,5.7136,30.333,30.333,31.171
0.0084641,1005.2,0.0090771,5.7079,29.864,29.864,31.171
0.008525,1007.8,0.0091419,5.7019,29.364,29.364,31.171
0.0085859,1010.1,0.0092067,5.6957,28.831,28.831,31.171
0.0086468,1012.2,0.0092715,5.6892,28.265,28.265,31.171
0.0087076,1014.1,0.0093362,5.6826,27.666,27.666,31.171
0.0087685,1015.7,0.009401,5.6757,27.034,27.034,31.171
0.0088294,1017,0.0094657,5.6686,26.368,26.368,31.171
0.0088903,1018,0.0095303,5.6612,25.668,25.668,31.171
0.0089512,1018.8,0.009595,5.6536,24.933,24.933,31.171

