Disp (in), Force (lb)
-0.004424759, -3.391705406
0.123509272, 83.1031819
0.172620435, 133.9714493
0.217416544, 184.8378884
0.227911633, 242.4694541
0.246323748, 278.0704762
0.256270313, 318.7526569
0.253710535, 372.9888604
0.268410972, 427.2323775
0.278412389, 469.6094968
0.279893404, 515.3728362
0.294264727, 559.4467223
0.308526345, 600.1307315
0.33562342, 637.4303489
0.358076327, 664.5585069
0.389378751, 698.4700757
0.416146712, 725.6000622
0.460339445, 757.8221777
0.517203077, 781.575086
0.574011857, 803.6330559
0.63934104, 822.3048055
0.695765853, 832.4982059
0.765026123, 839.3072145
0.82975193, 839.3346406
0.907422898, 839.3675521
0.993614269, 836.0142433
1.084010989, 829.272886
1.161572252, 825.9159204
1.234928166, 825.9470035
1.321229242, 825.9835717
1.458981848, 815.8724499
1.531789239, 798.954148
1.600281576, 782.0340176
1.652171926, 785.4458356
1.708761296, 800.7240514
1.786980788, 817.7063478
1.847994917, 836.376269
1.935063926, 860.1419762
2.039502855, 887.3048741
2.113736407, 914.4549731
2.153175267, 933.1157522
2.201189382, 950.0852497
2.270339948, 953.5043813
2.330311881, 939.9704711
2.368653694, 924.7324804
2.389186768, 892.537791
2.427309171, 870.5200463
2.473732567, 838.3363274
2.506991393, 799.3673692
2.531894373, 768.8694468
2.560838144, 729.8986602
2.594151822, 692.6246406
2.627355795, 651.960744
2.656189862, 609.6000805
2.697914238, 565.5499637
2.713419177, 511.3192454
2.772294064, 463.8865653
2.852250547, 401.2085807
2.872948178, 374.0987069
2.928111387, 345.3085218
2.992014408, 319.9118705
3.042643153, 284.340103
3.045696602, 245.358346
3.048859756, 209.766466
3.034982104, 180.9470263
3.033885057, 147.0482564
2.967458826, 94.47773679
2.940581161, 63.95787337
2.896827247, 45.29526578
2.831498064, 26.62351613
2.740278559, 7.940795999
