Disp,Force
0.221094457,270.5269152
0.221755049,265.33432
0.222417296,261.3119936
0.223081358,258.971456
0.223747396,257.8745792
0.224415573,260.0685552
0.225086055,263.140344
0.225759007,263.8715952
0.226434599,261.3849408
0.227113002,254.3639952
0.227794389,249.0252832
0.228478933,246.3922896
0.229166811,242.2967936
0.229858202,239.9564784
0.230553285,238.128128
0.231252243,236.7383504
0.231955259,234.5443744
0.232662518,233.5936144
0.233374209,233.4472752
0.23409052,232.3503984
0.234811642,230.522048
0.235537768,229.0593232
0.236269093,227.3770896
0.237005812,227.3770896
0.237748124,225.9143648
0.238496228,232.2040592
0.239250326,231.9847728
0.240010622,229.3517792
0.240777319,224.817488
0.241550624,221.014448
0.242330745,217.7965424
0.243117893,217.7233728
0.243912279,219.405384
0.244714115,217.2845776
0.245523617,212.0188128
0.246341,206.9723344
0.247166483,203.0231776
0.248000286,200.2440672
0.248842628,198.488664
0.249693732,196.5141968
0.250553824,194.9783024
0.251423127,194.0275424
0.252301869,193.2960688
0.253190279,196.294688
0.254088586,200.3172368
0.254997023,199.0006288
0.255915821,198.854512
0.256845215,196.1483488
0.25778544,196.4410272
0.258736735,192.1260224
0.259699335,187.1527136
0.260673482,183.7155216
0.261659417,181.4481536
0.262657381,178.888552
0.263667619,177.7182832
0.264690374,177.3526576
0.265725894,178.8153824
0.266774424,181.5944928
0.267836215,181.8871712
0.268911514,179.9124816
0.270000574,176.987032
0.271103646,173.183992
0.272220983,168.9421568
0.273352839,165.4315728
0.274499469,163.7495616
0.27566113,166.1630464
0.276838079,166.528672
0.278030574,164.7734912
0.279238874,161.482416
0.280463241,158.3374576
0.281703934,155.5583472
0.282961217,153.3643712
0.284235351,152.1941024
0.285526602,150.073296
0.286835233,149.0493664
0.28816151,148.3910624
0.2895057,147.3673552
0.29086807,147.513472
0.292248887,149.4881616
0.293648421,149.7076704
0.29506694,149.8537872
0.296504715,150.365752
0.297962016,149.7076704
0.299439114,153.3643712
0.300936282,151.6821376
0.302453792,147.9522672
0.303991916,145.0999872
0.305550929,143.0523504
0.307131104,141.7359648
0.308732716,140.565696
0.31035604,141.8820816
0.312001351,148.6837408
0.313668924,147.5866416
0.315359037,144.368736
0.317071965,141.0776608
0.318807984,138.5910064
0.320567373,136.8358256
0.322350408,135.811896
0.324157366,133.3984112
0.325988526,131.7164
0.327844165,130.4729616
0.32972456,129.6685408
0.331629991,129.0834064
0.333560734,130.2536752
0.335517068,134.56868
0.337499271,132.5939904
0.339507622,130.4000144
0.341542397,128.4253248
