15FM,,18FM,,13FM,,20FM,,12FF,,22FM,,14FF,,19FM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.008575255177835972,1.6912816715348526,0.004424758535258699,3.3917054061589624,-0.00005485237853630753,-1.694938496770419,0.004150496642577384,-5.082987077693815,-0.008520402799299776,3.3862201683052717,-0.008684959934908476,-1.6985953220062129,-0.00420534902111358,3.3880485809231686,-0.004424758535258588,-3.3917054061589624
0.045893156708674554,84.7652089647072,0.00978200750563385,35.59736525741778,0.05730245144421753,37.312416292984835,0.006673706055245532,72.88418377375228,0.0271519273754508,38.99455590143043,-0.007587912364183214,32.2001746134049,0.05900287517884173,89.85550969287237,0.12350927233748843,83.10318189505847
0.09522372913895483,142.4132303937031,0.015852337396980443,89.83722556669363,0.14082433982876918,84.80543404230048,0.009690586874740115,166.10580109613352,0.08030388217709095,81.38995927210908,-0.006271455279312943,72.8786985358986,0.07282567456998024,116.98001087905527,0.1726204352536237,133.971449336972
0.14417033491948128,188.1966823453049,0.03066247960177171,147.47061969474657,0.1981816436515229,123.81278883205573,0.0076793329950770595,237.29138954787936,0.11138689668097401,108.52177410876334,0.008154720275724725,118.64752318655746,0.09134749438905876,155.97090995524968,0.21741654439157287,184.83788836626786
0.1714319670520047,230.5811152402764,0.032253198579323406,196.62383610109305,0.2510593365604816,157.7334997188816,0.03614771745539813,316.96446937180315,0.15568933441209687,144.13376666712384,0.01821098967403978,162.71958092782802,0.11391010609364216,186.4889449602092,0.22791163281817806,242.46945408170268
0.23376255319537964,289.9295604038965,0.05536433406926944,244.09125607375813,0.2864574048425509,184.86714296815376,0.03336853027622744,364.4209188687612,0.19141651696538353,181.4370408970192,0.028486668586499952,213.57139265618093,0.10654160324360396,225.46887356069647,0.24632374788018419,278.07047616435614
0.2650101248348715,322.14619073086226,0.05668079115413982,284.7697799962518,0.31759527172497026,213.69389630157843,0.047959262966873806,415.2745590097319,0.23101993426856637,205.18263556536817,0.034173031828092615,255.94668348806283,0.12030955025620627,250.89843625010872,0.25627031252142674,318.7526569120855
0.3006824550096221,357.7545264639873,0.07099726195210476,327.14872765336963,0.3487879909859257,244.21558813177376,0.049495129565889195,462.7328369193077,0.2752126672426167,237.4047511301876,0.03510552226320918,284.76063793316246,0.12555709446950902,279.7142191078261,0.25371053485640105,372.9888603961257
0.34487518798367234,389.97664202880674,0.07695788708637874,377.99871096910454,0.37566565646869543,274.7354515493512,0.05960625134274056,508.4998331573488,0.3106107355246859,264.53839437945965,0.044887529768843026,320.3580031905801,0.13539395435367896,317.0065228620143,0.2684109723041199,427.23237753063745
0.3892873304718677,428.9785115807085,0.07843890130685793,423.76205038190983,0.41996809419981795,310.3474441077119,0.06955281598398311,549.1820139050781,0.3503787099634774,293.36880453812023,0.05013507398214556,349.17378604829764,0.14932645850189008,347.52090104173817,0.2784123893238988,469.60949677513736
0.4377402648455676,459.5075170613753,0.09712527826154538,467.83776494841607,0.4599554781527547,345.9576082534546,0.0710886825829985,596.6402918146539,0.39446173818045527,322.2010431093986,0.0644515447801105,391.55273370541533,0.1764235334988048,384.82051844639784,0.27989340354437797,515.3728361879427
0.47750823928435915,488.3379272200358,0.11646988375866785,532.252741476169,0.4999977144842277,383.262710895968,0.08092554246716854,633.9325955688422,0.4385996187759692,352.7282201774476,0.06997335088609458,428.84320904698575,0.18615068862590223,418.722945207045,0.2942647267208792,559.446722341831
0.5302762274362457,518.8687611133206,0.13122517358492292,588.1911971074514,0.5354506351448333,412.09129264201067,0.0954614227792786,683.0912972130421,0.47399768705803835,379.86186342671954,0.09319419113311311,479.7005060131921,0.20412398465961823,440.7644593155338,0.30852634514030786,600.1307315021783
0.574304403274687,546.0060611878283,0.14587075865410548,640.7397757451926,0.5713423748337286,454.47938236221773,0.12288761204741072,730.5605455983252,0.5266559704528523,407.00282032646317,0.11614076948745022,522.0831104955456,0.21783707929368423,464.49908350817543,0.33562342013722246,637.4303489068379
0.6355379418473367,571.4557364160371,0.1734066526793102,691.5989011240168,0.6024802417161482,483.3061356956425,0.14561478088760293,766.1633960935966,0.5749443476909434,432.44701031681836,0.14755289826255102,559.3845563128233,0.24028998624119502,491.6272415195939,0.35807632708473325,664.5585069182564
0.7056209974905038,603.6888224565638,0.19624352627657482,730.5916286128291,0.6424127732905486,517.2213613446147,0.19854732617509796,801.779045477193,0.6233424296861073,461.2810773007146,0.1700058052100618,586.5127143242416,0.2670579469668921,518.7572279436301,0.38937875110276143,698.4700757419928
0.775594348376598,632.5320315035494,0.22366971554470694,778.0608769981122,0.6779205463296901,547.744881587428,0.25994542188335645,832.3135361957134,0.6583565313184226,476.5501510725926,0.1924038597790364,611.9459338388896,0.2895108539144029,545.8853859550486,0.4161467118284584,725.6000621660291
0.8196225242150396,659.6693315780574,0.2721775022969434,810.2848209755497,0.7264283330819267,579.9688255648654,0.32565857136980103,862.8498553268518,0.6934803377078106,495.20910183801186,0.24124076080249035,654.3395087969503,0.3380186406666392,578.1093299324859,0.46033944480250855,757.8221777308486
0.8681303109672761,691.8932755554947,0.3380552089189969,845.9059555969998,0.7876070192760399,603.7235622963035,0.41781056731072497,910.346529901403,0.7416590101888295,517.2634148348259,0.2721043657922284,674.6915696465222,0.3821016688836171,606.9415685037644,0.5172030772184358,781.5750860496689
0.9292541447828532,713.9530737901623,0.4208640163825771,871.3647728882979,0.8787168200247751,619.016405432214,0.5134548313517912,932.4209554370136,0.7942075888265706,541.0144947410282,0.3205024477873921,703.5256366304185,0.4171706228944686,623.905580772413,0.5740118572558269,803.6330558717186
0.9729532063500771,730.9207428840467,0.5291791798655202,884.9699911779093,0.9479770899898979,625.8254140211823,0.6040161083151635,930.7644136052184,0.8467013150857755,563.0706361504601,0.3513660527771302,723.8776974799904,0.4739245505533235,644.2686120976922,0.6393410400925178,822.304805525463
1.0335285163802914,736.0311561510086,0.6111652016510566,885.004731017649,1.0560728439586962,632.6508783237114,0.6984536200284318,915.5501922118765,0.9037843570158478,593.6032984563628,0.4081199804359851,744.2407288052697,0.5134182630994336,664.6243297724999,0.6957658534801548,832.4982058701188
1.0939392692748973,736.056753927659,0.680096357344962,881.6441086259938,1.14690838281475,639.4690289757691,0.7710416009580882,891.8521362715926,0.9649081908314249,615.6630966910303,0.46465449858069474,757.8240061434665,0.5959528086703326,681.6084545799451,0.7650261234452781,839.3072144590872
