Time,Disp,Force,CrackExt,G_I
1.8,0,0,41.248886096,0
2,6.161700000007e-05,-0.102442506600001,41.248886096,-8.62171806258915e-09
2.2,-7.5320000000545e-05,-0.2047960488,41.248886096,2.1069050091618e-08
2.4,-0.000216613000000976,0.190161405,41.248886096,-5.62626217351304e-08
2.6,0.0002090939999988,-0.1463019558,41.248886096,-4.17834959365407e-08
2.8,-0.000146200000001428,-0.0584940930000002,41.248886096,1.16807964191304e-08
3,0.000874504000000439,0.190161405,41.248886096,2.2714189710526e-07
3.2,-1.821999999762e-06,0.0731287367999993,41.248886096,-1.819908339712e-10
3.4,-0.000191140000000089,0.292559429399999,41.248886096,-7.63798415154854e-08
3.6,0.00026571899999972,0.2194306926,41.248886096,7.96403306002048e-08
3.8,8.4160999998417e-05,0.2194306926,41.248886096,2.52244283002902e-08
4,-0.000707817000000332,0.2047960488,41.248886096,-1.97995642971294e-07
4.2,-0.00018550900000136,0.2486999802,41.248886096,-6.30164314550947e-08
4.4,0.000212706999999313,0.380322809999999,41.248886096,1.1049617041749e-07
4.6,0.00102999699999984,0.4242267414,41.248886096,5.9682508939948e-07
4.8,0.000942757999998989,0.5851188588,41.248886096,7.53455128464427e-07
5,0.000765765999998891,0.497310996,41.248886096,5.20160312045128e-07
5.2,-8.85379999999711e-05,0.614299182,41.248886096,-7.42886926066977e-08
5.4,0.000246400999998287,0.5558495712,41.248886096,1.87073732740719e-07
5.6,0.000435570999998802,0.5412149274,41.248886096,3.21989562845423e-07
5.8,1.4416999999156e-05,0.511990122,41.248886096,1.00820663552468e-08
6,0.000384584999999049,0.6143436642,41.248886096,3.22713249223611e-07
6.2,0.000275889999999279,0.5558495712,41.248886096,2.09462510809862e-07
6.4,0.000334364999998727,0.7313763324,41.248886096,3.34021778545448e-07
6.6,0.00304225100000011,0.6436129518,41.248886096,2.67444018118203e-06
6.8,0.00226461399999956,0.7460109762,41.248886096,2.30755720508784e-06
7,0.0044620989999995,0.833774356799999,41.248886096,5.08160386399205e-06
7.2,0.00544486899999974,0.936216863399999,41.248886096,6.96268849775195e-06
7.4,0.00349366800000084,1.082474337,41.248886096,5.16549935860409e-06
7.6,0.0126029219999992,0.994755438599999,41.248886096,1.71238195085987e-05
