Time,Disp,Force,CrackLen,CrackExt,G_I
10.6,-5.16E-05,-0.102398024,41.52706812,0,6.85E-09
10.7,0.000315598,0.175526761,41.52706812,0,7.18E-08
10.8,0.000410157,0.526535801,41.52706812,0,2.80E-07
10.9,0.000387256,0.336374396,41.52706812,0,1.69E-07
11,-0.000259933,0.555805089,41.52706812,0,-1.87E-07
11.1,0.000831247,0.482720834,41.52706812,0,5.20E-07
11.2,0.000378365,0.511990122,41.52706812,0,2.51E-07
11.3,0.000320808,0.336374396,41.52706812,0,1.40E-07
11.4,-0.000280863,0.658247596,41.52706812,0,-2.40E-07
11.5,0.000862097,0.614343664,41.52706812,0,6.86E-07
11.6,8.91E-07,0.585118859,41.52706812,0,6.76E-10
11.7,0.000587519,0.54125941,41.52706812,0,4.12E-07
11.8,0.000328116,0.453407065,41.52706812,0,1.93E-07
11.9,-0.000214913,0.555805089,41.52706812,0,-1.55E-07
12,4.08E-05,0.570439733,41.52706812,0,3.01E-08
12.1,0.002323567,0.687427919,41.52706812,0,2.07E-06
12.2,0.01621378,0.877633806,41.52706812,0,1.84E-05
12.3,0.016658516,0.819139713,41.52706812,0,1.77E-05
12.4,0.017554736,0.86295468,41.52706812,0,1.96E-05
12.5,0.017842935,0.804505069,41.52706812,0,1.86E-05
12.6,0.017715632,0.819095231,41.52706812,0,1.88E-05
12.7,0.018359553,0.950807025,41.52706812,0,2.26E-05
12.8,0.021578236,1.126333786,41.52706812,0,3.15E-05
12.9,0.0207311,0.921537737,41.52706812,0,2.48E-05
13,0.020668059,0.863043644,41.52706812,0,2.31E-05
13.1,0.02054733,0.892223968,41.52706812,0,2.38E-05
13.2,0.020735077,0.819095231,41.52706812,0,2.20E-05
13.3,0.02078438,0.863043644,41.52706812,0,2.32E-05
13.4,0.02099305,0.862999162,41.52706812,0,2.35E-05
13.5,0.023597118,1.126333786,41.52706812,0,3.44E-05
13.6,0.024889128,1.27259126,41.52706812,0,4.10E-05
13.7,0.024357173,1.140923948,41.52706812,0,3.60E-05
13.8,0.024124559,1.067839693,41.52706812,0,3.34E-05
13.9,0.023804433,1.140923948,41.52706812,0,3.52E-05
14,0.02394558,1.184783397,41.52706812,0,3.68E-05
14.1,0.024477866,1.126333786,41.52706812,0,3.57E-05
14.2,0.031010027,1.345764479,41.52706812,0,5.41E-05
14.3,0.030882303,1.433483377,41.52706812,0,5.74E-05
14.4,0.030489361,1.36035464,41.52706812,0,5.37E-05
14.5,0.029451609,1.27259126,41.52706812,0,4.86E-05
14.6,0.029210192,1.243321972,41.52706812,0,4.71E-05
14.7,0.029687748,1.462797147,41.52706812,0,5.63E-05
14.8,0.030401355,1.36035464,41.52706812,0,5.36E-05
14.9,0.031154842,1.535925884,41.52706812,0,6.20E-05
15,0.034789268,1.492021952,41.52706812,0,6.73E-05
15.1,0.040426271,1.52129124,41.52706812,0,7.97E-05
15.2,0.040690167,1.550516045,41.52706812,0,8.18E-05
15.3,0.04142268,1.477387309,41.52706812,0,7.93E-05
15.4,0.042363145,1.550516045,41.52706812,0,8.51E-05
15.5,0.043474481,1.68222784,41.52706812,0,9.48E-05
15.6,0.044919921,1.755312094,41.52706812,0,0.000102178
15.7,0.046618505,1.989332948,41.52706812,0,0.000120179
15.8,0.048959507,2.062506167,41.52706812,0,0.000130856
15.9,0.053186787,2.267302216,41.52706812,0,0.00015627
16,0.061960729,2.340475435,41.52706812,0,0.000187925
16.1,0.066244363,2.486732909,41.52706812,0,0.000213472
16.2,0.068176373,2.369700241,41.52706812,0,0.000209358
16.3,0.070469577,2.457463621,41.52706812,0,0.000224415
16.4,0.076725461,2.676894314,41.52706812,0,0.000266154
16.5,0.087918726,2.837786431,41.52706812,0,0.000323314
16.6,0.091362014,2.940184456,41.52706812,0,0.000348099
16.7,0.095038435,3.130301378,41.52706812,0,0.000385521
