Time,Disp,Force,CrackExt,G_I
0,0,0,37.02721106,0
0.2,-0.00118955700000001,-0.146257473599999,37.02721106,2.2014188319066e-07
0.4,-0.00130118700000104,-0.175482278999999,37.02721106,2.88916493074866e-07
0.6,-0.00115671000000006,-0.175482278999999,37.02721106,2.56836716555252e-07
0.8,-0.000959549000000948,-0.146212991399999,37.02721106,1.77522118794972e-07
1,-0.00089496700000069,0.0292692876,37.02721106,-3.31450384391753e-08
1.2,-0.000931751999999619,-0.0437704847999996,37.02721106,5.16037239736329e-08
1.4,-0.000826814999999925,-0.1608921174,37.02721106,1.68322614078448e-07
1.6,-0.00106747099999893,0.0293582520000015,37.02721106,-3.96538749222888e-08
1.8,-0.000988453999999805,-0.0438149669999994,37.02721106,5.47997156763694e-08
2,-0.000847566999999216,0.0147236082000006,37.02721106,-1.57902004915337e-08
2.2,-0.000769370000000436,-0.1608476352,37.02721106,1.56584684345e-07
2.4,-0.0012930700000009,8.89644000015011e-05,37.02721106,-1.45558523999115e-10
2.6,-0.0011881270000007,-0.146212991399999,37.02721106,2.19810371786568e-07
2.8,-0.000899142000001518,0.1170771504,37.02721106,-1.33198637055017e-07
3,-0.00074871799999876,-0.1315783476,37.02721106,1.24652804896759e-07
3.2,-0.00059161300000099,0.0585830574000017,37.02721106,-4.38539881562843e-08
3.4,-0.000594922000001219,-0.0876299339999989,37.02721106,6.59647418082992e-08
3.6,-0.000807778000000425,-0.116988185999999,37.02721106,1.19573070303225e-07
3.8,-0.0011332270000004,0.102442506600001,37.02721106,-1.46891431375163e-07
4,-0.000973455000000456,-0.0877188983999986,37.02721106,1.0804592756421e-07
4.2,-0.000706099000000293,-0.1608476352,37.02721106,1.43707564671489e-07
4.4,-0.00255895599999967,0.1170771504,37.02721106,-3.79083005224022e-07
4.6,-0.00191423300000082,0.2047960488,37.02721106,-4.96038888081127e-07
4.8,-0.001029732000001,0.2633791062,37.02721106,-3.43166497119441e-07
5,-0.00436390700000011,0.2926483938,37.02721106,-1.61592419847309e-06
5.2,-0.00284269199999976,0.438905867400001,37.02721106,-1.57870340975052e-06
5.4,-0.00407675699999999,0.511990122,37.02721106,-2.64104475429072e-06
5.6,-0.00137363500000021,0.526624765800001,37.02721106,-9.15317951750404e-07
5.8,-0.00222630700000082,0.570484215,37.02721106,-1.60704499691765e-06
6,-0.00548882300000031,0.380367292200001,37.02721106,-2.64168934231662e-06
6.2,-0.00155189200000017,0.468130672800001,37.02721106,-9.19237949336109e-07
6.4,-0.00482497099999968,0.833863321200001,37.02721106,-5.09083394856308e-06
6.6,-0.0032723610000005,0.424271223600002,37.02721106,-1.75672643951187e-06
6.8,-0.00517489700000162,0.336507843000001,37.02721106,-2.20341475815441e-06
7,-0.00227083700000108,0.5705731794,37.02721106,-1.63944430713786e-06
7.2,-0.00377223799999982,0.5120346042,37.02721106,-2.44398058223933e-06
7.4,-0.00262234200000044,0.585207823200001,37.02721106,-1.94177456060806e-06
7.6,-0.00314595200000056,0.497355478200001,37.02721106,-1.97978646554244e-06
7.8,-0.00781911300000182,0.643657434000001,37.02721106,-6.36812576991187e-06
8,-0.00282169700000168,0.760690102200002,37.02721106,-2.71592326221975e-06
8.2,-0.00875570100000012,0.702196009200001,37.02721106,-7.77944531472487e-06
8.4,-0.00307048900000062,0.65833656,37.02721106,-2.55773103252677e-06
8.6,-0.00476324100000092,0.629022790200001,37.02721106,-3.79112661651948e-06
8.8,-0.00923271800000158,0.5120346042,37.02721106,-5.98174969694291e-06
9,-0.00400734300000138,0.687561365400001,37.02721106,-3.48632070322965e-06
9.2,-0.00978175700000072,0.687561365400001,37.02721106,-8.5099633205973e-06
9.4,-0.00316556600000162,0.790003872000002,37.02721106,-3.1643167171278e-06
9.6,-0.0100240480000018,0.789959389800002,37.02721106,-1.00195278396223e-05
