Disp,Force
0.215975375,301.2439136
0.2167264,298.0257856
0.21747636,295.5393536
0.218225297,292.4675648
0.218973251,290.05408
0.219720264,288.5913552
0.220466376,288.5913552
0.22121163,289.9079632
0.221956067,299.1960544
0.222699731,299.56168
0.223442665,293.7839504
0.224184911,288.2257296
0.224926513,287.1286304
0.225667515,290.05408
0.226407962,282.8867952
0.227147896,273.5255344
0.227887363,267.1628928
0.228626409,261.6776192
0.229365077,258.0209184
0.230103413,256.485024
0.230841463,255.534264
0.231579273,255.241808
0.232316888,255.8269424
0.233054354,258.7521696
0.233791717,252.7551536
0.234529025,246.392512
0.235266322,242.223624
0.236003656,241.272864
0.236741073,242.223624
0.23747862,239.5908528
0.238216343,234.032632
0.23895429,229.6444576
0.239692507,226.5728912
0.24043104,225.4026224
0.241169937,222.5503424
0.241909244,219.112928
0.242649008,216.626496
0.243389275,215.675736
0.244130092,216.1877008
0.244871505,215.1637712
0.245613561,213.115912
0.246356306,210.263632
0.247099785,207.5576912
0.247844044,204.4127328
0.24858913,201.1216576
0.249335087,199.4396464
0.250081962,200.6096928
0.250829797,199.9516112
0.251578639,198.0500912
0.252328532,196.2949104
0.25307952,194.3933904
0.253831646,193.8814256
0.254584955,196.1485712
0.255339489,197.3186176
0.25609529,201.5604528
0.256852402,200.8292016
0.257610866,195.4170976
0.258370723,190.8828064
0.259132014,187.0065968
0.259894781,183.8618608
0.260659062,181.5947152
0.261424898,180.9364112
0.262192327,179.6200256
0.262961388,178.1573008
0.263732117,177.4260496
0.264504554,177.2797104
0.265278733,176.5482368
0.266054691,175.45136
0.266832463,176.40212
0.267612083,176.3289504
0.268393585,174.7198864
0.269177003,173.3303312
0.269962367,174.5737696
0.27074971,175.2318512
0.271539063,173.1842144
0.272330455,171.4288112
0.273123914,169.3080048
0.27391947,168.2840752
0.274717148,167.3333152
0.275516976,167.0408592
0.276318978,166.6750112
0.277123178,165.1393392
0.2779296,163.2378192
0.278738267,162.6526848
0.279549197,161.18996
0.280362413,159.6540656
0.281177933,157.0212944
0.281995774,155.0466048
0.282815953,153.1450848
0.283638486,151.0972256
0.284463387,150.9511088
0.285290668,149.9271792
0.286120341,150.5852608
0.286952417,152.1211552
0.287786904,153.8033888
0.288623811,152.2674944
0.289463143,150.8047696
0.290304905,148.9764192
0.291149102,147.0017296
